,main_pat_id,gender,first_name,last_name,middle_name,dob,marital_status,ethnicity,nhs_no,gp_title,gp_forename,gp_surname,gp_addr1,gp_addr2,gp_addr3,gp_addr4,gp_postcode,gp_workphone,pat_addr1,pat_addr2,pat_addr3,postcode,homephone,hospital_no,death_indicator,gp_local_code,gp_doh_code,gp_practicecode,date_of_death
0,P1000000,M,ROBERT,LEWIS,RYAN,1990-04-03,M,B,251 507 8567,DR.,GERARD,BURKE,"FLAT 6
MASON SQUARE",STUDIO 42,MARGARETFURT,,B99 0EX,+44(0)3069990030,"FLAT 27
BARRY RAPIDS",STUDIO 77W,NATASHASIDE,B7H,+44(0)306 999 0826,S5460407,0,Q65,G6868290,C82548,
1,P1000001,M,SCOTT,SHARPE,CHRISTOPHER,1981-10-28,S,C1,577 484 6393,DR.,TONY,BISHOP,"STUDIO 99G
WILLIAMS VILLAGE",STUDIO 30,SOUTH CALLUMFORT,,SL2 6XS,+44(0)1144960793,"STUDIO 89V
SHIRLEY DRIVE",FLAT 19U,KATHRYNTOWN,DH9,+44(0)1614960797,C6815750,0,Q81,G4038147,C82267,
2,P1000002,F,KATIE,SMITH,JANET,1959-02-28,M,A,778 448 4712,DR.,LEANNE,SHEPHERD,"STUDIO 86
MATTHEWS EXPRESSWAY",FLAT 81,LAKE JACKPORT,,HU15 0JN,0808 1570166,4 RICHARD RAPIDS,STUDIO 11U,NEW GLEN,EX8M,+44(0)20 74960340,S2199379,0,Q55,G0548539,C82071,
3,P1000003,M,MOHAMMAD,JOHNSTON,LIAM,1981-09-13,M,C1,982 852 0672,DR.,WILLIAM,COOK,"STUDIO 82
HUNT TERRACE",STUDIO 34,BELLSHIRE,,G10 0YE,+44121 4960410,"FLAT 0
JAYNE MOTORWAY",STUDIO 07,SOUTH SHANETOWN,E9J,+44306 999 0995,S4262394,0,Q59,G6691155,C82702,
4,P1000004,M,ANTONY,SMITH,WILLIAM,1962-08-18,M,A,894 707 6643,DR.,CHRISTIAN,CLARK,3 RITA CROSSROAD,FLAT 20O,LAKE SUSAN,,NP63 0FZ,029 2018 0124,"FLAT 63
LAWRENCE MEWS",STUDIO 14,WEST CAROLE,BH3,(0117) 496 0621,S1138796,0,Q21,G4402951,C82827,
5,P1000005,F,PAIGE,JOHNSON,SALLY,1989-12-18,S,C1,769 463 5169,DR.,PAULINE,EVANS,"FLAT 83
CHLOE FIELDS",STUDIO 72,MORRISSIDE,,S8C 7TJ,+44(0)161 496 0263,"FLAT 22
O'CONNOR RUN",FLAT 79,WINTERPORT,HG2E,+441214960542,M3634751,0,Q52,G9411402,C82688,
6,P1000006,F,KIRSTY,CLARK,JILL,1958-02-23,S,C1,486 158 1567,DR.,ANNA,MCDONALD,6 INGRAM SQUARE,STUDIO 65J,ALICETON,,S8 8RL,+44808 157 0103,"STUDIO 9
ERIC ROUTE",FLAT 81,JULIAFURT,M8T,01134960810,C1292000,1,Q17,G6121382,C82142,2005-10-01
7,P1000007,F,MARILYN,KING,MAUREEN,1978-02-08,C,B,598 661 8912,DR.,RACHAEL,BRENNAN,031 LYDIA CLIFFS,STUDIO 52Y,GILESCHESTER,,W3 2EY,(0115) 496 0874,43 WALKER TRAFFICWAY,STUDIO 98,ROSEMARYVILLE,FY99,(0116)4960497,S2251591,0,Q61,G0269051,C82777,
8,P1000008,F,BARBARA,REID,PAIGE,1991-02-06,M,C1,774 816 1291,DR.,JENNIFER,JONES,"FLAT 22E
KERRY CLUB",STUDIO 86H,GEMMAPORT,,L34 2TE,+44161 496 0573,90 TOBY PLAINS,STUDIO 93,SOUTH KATIELAND,EH3P,(020)74960305,M1453472,0,Q68,G6353797,C82511,
9,P1000009,M,JUSTIN,PARKER,CHRISTIAN,1971-05-02,S,C1,135 142 7083,DR.,VICTOR,TAYLOR,"FLAT 7
GEMMA PARKS",FLAT 9,LAKE GRAHAMTON,,BS94 5WD,+4429 2018 0412,30 LISA MOTORWAY,STUDIO 2,KNIGHTSTAD,W5,+44161 4960235,S2611239,0,Q15,G8976374,C82941,
