,main_pat_id,gender,first_name,last_name,middle_name,dob,marital_status,ethnicity,nhs_no,gp_title,gp_forename,gp_surname,gp_addr1,gp_addr2,gp_addr3,gp_addr4,gp_postcode,gp_workphone,pat_addr1,pat_addr2,pat_addr3,postcode,homephone,hospital_no,death_indicator,gp_local_code,gp_doh_code,gp_practicecode,date_of_death
0,P1000000,F,LYNN,TAYLOR,JUNE,1972-05-05,M,C2,562 137 8318,DR.,RUTH,WILLIAMS,"STUDIO 9
SCOTT PARKS",STUDIO 1,CHANCHESTER,,B5 8XE,01314960018,14 GRANT TURNPIKE,STUDIO 7,DENISEHAVEN,KT7E,01184960723,C2691592,0,Q14,G6149407,C82040,
1,P1000001,F,SHARON,PATEL,CHLOE,1982-08-20,S,A,504 091 8682,DR.,FRANCES,BRADLEY,1 FREEMAN HOLLOW,FLAT 44W,GEORGINASHIRE,,M5K 8WX,+441632960860,445 FOSTER FORT,FLAT 4,STANLEYVILLE,M3,+4420 74960350,M4688283,0,Q25,G9278923,C82753,
2,P1000002,M,VICTOR,MOORE,FRANK,1981-05-02,M,B,472 971 4644,DR.,JUSTIN,THOMAS,5 WILLIAMS SUMMIT,FLAT 71V,WILKINSSIDE,,N7 7PQ,+44113 496 0379,75 HUGHES MANORS,STUDIO 79,NEW HELENCHESTER,LE34,01164960163,S2713596,0,Q14,G7693095,C82409,
3,P1000003,F,YVONNE,CLARKE,KIM,1966-01-29,S,A,573 266 8594,DR.,CHARLENE,YOUNG,694 BARKER KEY,STUDIO 1,NEW KIRSTY,,BR3B 4XS,+44118 496 0077,"FLAT 9
ERIC KEY",STUDIO 90Y,EAST VALERIE,HA3X,028 9018 0246,C5844299,0,Q23,G2250614,C82188,
4,P1000004,F,NATALIE,FOSTER,IRENE,1953-05-06,S,B,312 857 2941,DR.,SIAN,COOKE,884 LEONARD PIKE,STUDIO 69Y,GERARDVIEW,,B7 7FA,+44(0)115 496 0351,5 PHILLIPS LOCKS,STUDIO 44,HAYESTOWN,S99,+44(0)1164960857,M6345762,0,Q66,G6410447,C82513,
5,P1000005,M,MAURICE,WARD,ALAN,1986-12-29,S,A,668 771 6166,DR.,CHRISTIAN,HALL,9 RONALD STRAVENUE,STUDIO 93,WEST BRUCEPORT,,S1B 5NF,(0113)4960766,"FLAT 66
DENISE PORTS",FLAT 25,SHAWFURT,E7U,+44114 4960290,C7607233,0,Q84,G9292245,C82397,
6,P1000006,F,LAURA,NELSON,LESLEY,1980-07-24,S,C1,213 858 7967,DR.,TERESA,SMITH,"STUDIO 5
ALICE STREAM",STUDIO 99O,DECLANLAND,,B05 6SU,01632 960 395,"FLAT 83
NORMAN STATION",FLAT 22P,EAST KATHLEEN,S1,0306 9990425,S3698626,0,Q42,G0226506,C82047,
7,P1000007,F,EILEEN,BROWN,SYLVIA,1978-12-31,S,C2,713 240 5322,DR.,SARAH,TAYLOR,"STUDIO 74
MOSS MILLS",FLAT 5,JOSHUAVIEW,,BS5P 2LF,(029) 2018 0054,"STUDIO 6
PATRICIA MEADOW",STUDIO 93,LAKE RACHAEL,L5A,01314960433,C8571707,0,Q91,G8361893,C82163,
8,P1000008,F,LAURA,SHAW,CLAIRE,1970-10-11,S,A,745 209 5790,DR.,DENISE,SMITH,33 BRETT DALE,FLAT 40,JOSEPHHAVEN,,L9S 2TG,(0191)4960012,"FLAT 1
RAYMOND GLEN",FLAT 4,WEST DALE,LE3P,+44(0)1144960789,M7134593,0,Q42,G4947788,C82921,
9,P1000009,M,PHILLIP,TAYLOR,ADAM,1956-03-12,S,B,130 980 4036,DR.,SHAUN,WONG,261 GREENWOOD LOOP,STUDIO 50M,CHERYLBURGH,,UB2 7RN,+44(0)121 4960788,"FLAT 48W
TALBOT STRAVENUE",FLAT 25R,NEWMANBURGH,DH1Y,01514960800,C2456630,1,Q13,G5520983,C82817,2015-10-21
10,P1000010,F,KIM,COOPER,JOSEPHINE,1998-08-28,M,B,285 078 7892,DR.,LINDA,WOOD,0 GREEN SQUARES,STUDIO 37,NEW NICOLE,,EX9R 8HH,+441134960905,"FLAT 40P
HARTLEY PORT",STUDIO 98,NORTH CLAIRELAND,DH3,(01632)960520,S7773868,0,Q45,G9825557,C82546,
11,P1000011,F,HANNAH,BARNES,CHARLOTTE,1961-06-18,M,C1,310 480 0863,DR.,SALLY,BROWN,521 TOWNSEND MALL,STUDIO 94F,PORT BRADLEY,,TR8Y 5HQ,(028)9018204,2 KNIGHT RIVER,FLAT 53,DUNCANSTAD,RG1B,(0808) 157 0604,M4397892,0,Q96,G9456502,C82739,
12,P1000012,F,SOPHIE,SINGH,LYNNE,1964-03-14,S,C1,847 292 4432,DR.,ELLIE,NASH,"STUDIO 52
DONNELLY TRAIL",STUDIO 1,WALTERSBURGH,,PA1R 4ZL,029 2018 0803,"FLAT 5
PAULINE COMMON",STUDIO 6,NORTH LESLEY,N7,0121 496 0977,C9820054,0,Q82,G4609758,C82842,
13,P1000013,F,BETHAN,BENNETT,DENISE,1973-05-31,S,B,697 833 2526,DR.,CAROLE,WILLIAMS,36 MILLS AVENUE,FLAT 6,SCOTTMOUTH,,B44 3ZY,01614960891,"STUDIO 6
HAYLEY ISLE",FLAT 3,FRENCHFURT,G4S,+44292018701,M9832286,0,Q34,G8955681,C82287,
14,P1000014,F,MARION,NICHOLSON,KATIE,1982-08-04,M,A,404 309 3489,DR.,YVONNE,DAVIS,"FLAT 5
POPE LOAF",STUDIO 94H,DUNCANBURGH,,NW39 9YJ,01154960434,550 STEPHEN FALL,STUDIO 8,EAST PAULA,RH2,+4429 2018 0129,S9024850,0,Q30,G3194922,C82310,
15,P1000015,F,TINA,BENNETT,LAUREN,1987-03-18,M,A,586 720 0302,DR.,CHRISTINE,PARKER,71 BRIAN MILLS,FLAT 52,PORT SAMUEL,,CR5X 6FX,+441614960637,0 SHEPHERD COMMON,FLAT 1,GREENSHIRE,M74,+44(0)1614960431,C2614555,0,Q94,G6601733,C82551,
16,P1000016,F,MARY,SINGH,DIANA,1989-02-08,M,A,894 959 8477,DR.,JODIE,HUGHES,"FLAT 62L
MITCHELL RIDGE",STUDIO 58M,LAKE ELLIOTTLAND,,NN4H 2YB,+44808 1570149,32 WAYNE ROW,FLAT 06M,BARRYMOUTH,PE20,+44(0)113 496 0836,M3518138,0,Q60,G4977586,C82634,
17,P1000017,F,CHARLENE,STEWART,LESLEY,1967-12-22,M,C2,880 886 6432,DR.,TERESA,HUSSAIN,"FLAT 44X
KIERAN INLET",STUDIO 92,WEST TOBY,,S0 6RU,01214960127,852 PATRICIA JUNCTION,STUDIO 28,LEAHSTAD,S4D,0306 999 0708,M8219256,0,Q93,G4354866,C82696,
18,P1000018,F,ANNE,JACKSON,VICTORIA,1976-03-10,C,B,703 477 6032,DR.,SYLVIA,ROSS,"FLAT 04
CARLY COMMON",STUDIO 56,DAVIESHAVEN,,E6 5AF,+44131 496 0649,"FLAT 90W
MARC MOUNTAINS",STUDIO 4,ALIMOUTH,SE20,+44(0)1174960769,C1692212,0,Q36,G1419559,C82416,
19,P1000019,F,JAYNE,RICHARDSON,DONNA,1962-05-21,M,B,527 106 0357,DR.,SHEILA,WELCH,0 MARK PARKS,STUDIO 48,SOUTH DEANVIEW,,RG36 1WZ,+44(0)114 496 0305,"FLAT 6
RICKY ISLAND",STUDIO 8,NORTH ANGELABOROUGH,IM38,(0115) 4960808,M2964349,0,Q05,G8852867,C82389,
20,P1000020,F,ANDREA,COLE,KATIE,1983-04-30,M,C1,116 563 7766,DR.,VICTORIA,TAYLOR,"FLAT 31M
TURNER COVES",STUDIO 94S,JENNINGSSHIRE,,TW12 8FU,+44292018165,"FLAT 3
HOLLAND SPRINGS",STUDIO 6,SOUTH REECE,M2B,0161 496 0699,S7314273,0,Q61,G8490387,C82050,
21,P1000021,M,ALBERT,KNIGHT,JACOB,1984-12-28,M,B,184 086 9291,DR.,ARTHUR,EDWARDS,080 WENDY EXPRESSWAY,STUDIO 34,GILESSTAD,,E80 1PA,(0808) 157 0718,"STUDIO 37Z
KIRSTY CORNER",STUDIO 27Q,DAMIANLAND,HX3Y,(0151) 4960450,C3172441,0,Q75,G6500317,C82995,
22,P1000022,M,JACOB,BULL,KARL,1967-04-23,S,C1,583 777 4572,DR.,PHILLIP,BROWN,31 HOLLY KNOLLS,FLAT 95C,THOMSONLAND,,M67 4FE,08081570771,"STUDIO 57
LONG SPRING",STUDIO 62S,BALLCHESTER,TN70,+44(0)116 4960261,S3746518,0,Q86,G4992694,C82105,
23,P1000023,M,CHARLES,JACKSON,CLIVE,1974-09-24,S,A,946 214 0081,DR.,MAX,ARNOLD,"STUDIO 07Y
DOUGLAS SKYWAY",STUDIO 1,NORTH DAMIANVIEW,,OX0 7PP,0117 496 0163,62 MITCHELL LIGHT,FLAT 66,EAST BRANDON,HP29,+4429 2018 0331,S2512830,0,Q67,G6334480,C82286,
24,P1000024,F,ANNA,JONES,JANET,1990-06-15,S,A,269 112 3928,DR.,REBECCA,HENDERSON,"STUDIO 86R
LESLEY RAPID",STUDIO 0,LEAHTON,,SW2 3BD,(0118) 496 0124,930 CLARE CLIFFS,STUDIO 30,DENNISMOUTH,G4C,+44(0)121 496 0550,M8499151,0,Q98,G9110900,C82777,
25,P1000025,M,DENIS,HARRISON,STUART,1990-09-15,M,B,100 717 5605,DR.,STANLEY,BOND,"STUDIO 58
VANESSA DIVIDE",STUDIO 77S,PATTERSONSTAD,,E6E 7UD,0191 498 0671,"FLAT 48
ABDUL PIKE",FLAT 11,WATTSVIEW,SY4,(0116)4960815,C5574950,0,Q86,G1052446,C82103,
26,P1000026,F,TINA,WEBSTER,JENNIFER,1967-02-11,M,C1,293 024 1624,DR.,FRANCES,TAYLOR,"FLAT 38Y
DANNY WAYS",FLAT 08N,CHARLIEBURY,,IV90 1ZJ,+4420 7496 0201,"FLAT 96
MASON NECK",FLAT 7,LAKE PAUL,M0J,(0808)1570320,M6468187,0,Q18,G6646908,C82963,
27,P1000027,F,MARIE,KIRK,KAYLEIGH,1982-12-15,S,A,886 544 2654,DR.,BETH,GRIFFITHS,"STUDIO 32M
BARNES GROVES",STUDIO 99Y,NEW JUDITH,,M1H 5DB,0118 4960972,5 NORRIS BYPASS,STUDIO 1,AIMEETOWN,W1A,+44808 1570660,C1220837,0,Q06,G6619274,C82747,
28,P1000028,F,SALLY,ANDERSON,DEBORAH,1972-04-29,M,C1,590 088 7936,DR.,DOROTHY,GARDNER,0 RUTH VISTA,STUDIO 0,PORT ELLIOTBURY,,ML70 0TS,+44(0)289018913,6 JEFFREY VILLAGES,FLAT 1,WEST BENJAMIN,W15,(0909)8790228,S1955908,0,Q20,G3727838,C82975,
29,P1000029,F,YVONNE,DOUGLAS,JOSEPHINE,1987-01-17,S,B,570 117 4883,DR.,DOROTHY,WILSON,669 WALLACE CLIFFS,STUDIO 47,DALETOWN,,IM5R 0RA,(0151) 4960343,68 REBECCA WALK,STUDIO 28N,EAST CHARLOTTETON,M0F,+44141 4960142,M8695008,0,Q44,G2658351,C82342,
